week_ending,store_code_x,city,division_code,units,revenue,n_transactions,store_code_y,province,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,store_code,n_holidays,has_holiday,month
2023-11-12,CP08,Longueuil,HT,2.0,1299.98,2,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,LO,18.0,70.04,12,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,ME,19.0,3822.47,15,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,PC,211.0,3721.9,85,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP08,Longueuil,SP,2.0,18498.0,2,CP08,QC,2.16,10.2,13.1,41.16,3.0,1.0,4.0,CP08,0,0,11
2023-11-12,CP15,Repentigny,BQ,0.0,0.0,2,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,CH,2.0,2170.9799999999996,2,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,FI,2.0,1263.98,2,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,GA,2.0,699.98,2,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,HT,1.0,469.99,1,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,LO,43.0,103.97,7,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,ME,11.0,3069.89,4,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP15,Repentigny,PC,147.0,2944.53,80,CP15,QC,1.74,10.0,13.4,42.54,3.0,1.0,4.0,CP15,0,0,11
2023-11-12,CP16,Chicoutimi,BQ,3.0,56.28,2,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
2023-11-12,CP16,Chicoutimi,CH,1.0,32.99,1,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
2023-11-12,CP16,Chicoutimi,FI,4.0,3670.97,4,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
2023-11-12,CP16,Chicoutimi,GA,2.0,119.98,1,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
2023-11-12,CP16,Chicoutimi,HT,1.0,599.99,1,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
2023-11-12,CP16,Chicoutimi,LO,21.0,46.79,5,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
2023-11-12,CP16,Chicoutimi,ME,4.0,599.63,4,CP16,QC,-2.4,2.8,27.9,20.31,0.0,6.0,6.0,CP16,0,0,11
