store_code,division_code,n_weeks,avg_units,avg_revenue,std_units,total_units,total_revenue,pct_zero,max_units,cv,asp,demand_class,adi,cv2,tier
CP06,LO,125,66.72,980.0749599999999,85.86266228223737,8340.0,122509.37,0.0,357.0,1.2869104059088334,14.689372901678656,Erratic,1.0,1.6561383928364384,Tier 1
CP06,ME,125,185.032,31451.12256,224.37543911359674,23129.0,3931390.32,2.4,1109.0,1.212630459129214,169.97666652254745,Erratic,1.0245901639344261,1.4704726304079285,Tier 1
CP06,PA,74,12.175675675675675,3598.4150000000004,19.04094946126699,901.0,266282.71,0.0,151.0,1.5638515650763123,295.5412985571587,Erratic,1.0,2.4456317175916316,Tier 2
CP06,PC,125,811.616,19750.321359999998,952.1362973724893,101452.0,2468790.17,0.0,4886.0,1.1731364307412486,24.334563833142766,Erratic,1.0,1.3762490851323164,Tier 1
CP06,SP,103,4.194174757281553,32101.79145631068,3.0423747575272357,432.0,3306484.52,4.854368932038835,13.0,0.7253810185770956,7653.899351851852,Erratic,1.0510204081632653,0.5261776221119446,Tier 2
CP06,TO,103,8.281553398058252,8414.700582524272,6.297241032557091,853.0,866714.16,3.8834951456310676,24.0,0.7603937002970462,1016.0775615474795,Erratic,1.0404040404040404,0.5781985794514342,Tier 2
CP07,BQ,113,14.771739130434783,2875.262010869565,15.821478975079975,2718.0,529048.21,0.0,94.0,1.071064066009829,194.646140544518,Erratic,1.0,1.1471782334975071,Tier 2
CP07,CH,95,6.938356164383562,15051.210410958902,7.719409127593163,1013.0,2197476.7199999997,0.684931506849315,38.0,1.1125703184882545,2169.2761303060215,Erratic,1.006896551724138,1.237812713581056,Tier 2
CP07,FI,125,10.893939393939394,4623.82,8.65386784261929,1438.0,610344.24,0.7575757575757576,53.0,0.7943745168468332,424.4396662030598,Erratic,1.0076335877862597,0.6310308730156398,Tier 2
CP07,GA,111,19.139896373056995,23445.719844559582,17.223291944511427,3694.0,4525023.93,0.5181347150259068,89.0,0.8998633852979712,1224.9658716838114,Erratic,1.0052083333333335,0.8097541121999249,Tier 2
CP07,HT,91,8.66304347826087,24131.474239130435,7.147238264621915,797.0,2220095.63,0.0,30.0,0.8250262488647632,2785.565407779172,Erratic,1.0,0.6806683113158621,Tier 2
CP07,LO,125,112.0952380952381,1456.840904761905,156.73419573018217,23540.0,305936.59,0.4761904761904762,860.0,1.3982234963185325,12.996456669498727,Erratic,1.0047846889952152,1.9550289456572212,Tier 1
CP07,ME,125,267.67605633802816,53526.39417840376,278.9971482227904,57015.0,11401121.96,0.4694835680751174,1184.0,1.0422940028317873,199.96706059808824,Erratic,1.0047169811320753,1.0863767883391098,Tier 1
CP07,PA,100,29.023668639053255,6862.880118343195,31.793409144544455,4905.0,1159826.74,1.7751479289940828,193.0,1.0954304068150893,236.4580509683996,Erratic,1.0180722891566265,1.199967776175072,Tier 1
CP07,PC,125,750.1698113207547,18485.999811320755,1038.363554590292,159036.0,3919031.96,0.0,6538.0,1.3841713421687036,24.64242033250333,Erratic,1.0,1.9159303044811105,Tier 1
CP07,SP,102,3.669172932330827,35334.95706766917,2.3117676711387753,488.0,4699549.29,0.0,11.0,0.6300514349620023,9630.223954918032,Smooth,1.0,0.39696481069767825,Tier 2
CP07,TO,99,13.881188118811881,11138.91891089109,12.050964383577664,1402.0,1125030.81,0.0,50.0,0.8681507865487476,802.4470827389445,Erratic,1.0,0.753685788185209,Tier 2
CP08,BQ,86,9.476744186046512,2135.4202325581396,8.596479093464811,815.0,183646.13999999998,0.0,34.0,0.9071131313349372,225.3326871165644,Erratic,1.0,0.822854233040275,Tier 2
CP08,CH,96,5.5,7923.110208333333,4.235190917215322,528.0,760618.58,0.0,18.0,0.7700347122209675,1440.5654924242424,Erratic,1.0,0.5929534580252283,Tier 2
CP08,FI,121,6.975206611570248,2074.7206611570246,7.002931302815696,844.0,251041.19999999998,0.8264462809917356,58.0,1.003974748389454,297.4421800947867,Erratic,1.0083333333333333,1.0079652954036677,Tier 2
CP08,GA,95,9.673684210526316,10327.239789473684,23.998422867179876,919.0,981087.78,2.1052631578947367,233.0,2.480794529251456,1067.5601523394994,Erratic,1.021505376344086,6.154341496363953,Tier 2
CP08,HT,91,5.912087912087912,10321.563736263737,5.400922455466599,538.0,939262.3,1.098901098901099,28.0,0.9135389283410046,1745.8407063197026,Erratic,1.011111111111111,0.8345533735944312,Tier 2
CP08,LO,119,54.773109243697476,635.8087394957984,74.36504520757892,6518.0,75661.24,0.0,381.0,1.3576926019794249,11.608045412703284,Erratic,1.0,1.843329201469661,Tier 1
