store_code,division_code,actual_revenue,pred_revenue,revenue_wmape,n_weeks
CP45,LO,1087.3600000000001,2738.1954126407836,4.410924921660126,23
CP45,ME,21009.360000000004,18886.813568715956,0.49789920288980466,22
CP45,PA,844.96,1078.6726309467103,0.9458430696619501,4
CP45,PC,86956.25,86707.17421460093,0.20855222586884556,26
CP45,SP,137568.69999999998,128609.34481407222,0.130433154608708,8
CP45,TO,0.0,-336.0829811274773,,2
CP46,BQ,5918.17,7229.629472598175,0.543201887569293,17
CP46,CH,421.92,2766.9845593751697,6.437500316827634,6
CP46,FI,14055.869999999997,17076.662354429303,0.39496938034139173,12
CP46,GA,9000.210000000001,7475.886869983035,0.46254318081142737,9
CP46,LO,688.7199999999999,897.7433052949373,4.128876352336278,18
CP46,ME,15207.74,14949.390035772574,0.40753603791315157,23
CP46,PA,274.36,169.21401114746422,0.8229597186151518,3
CP46,PC,60638.29,58019.256712504,0.14178148512863267,26
CP46,SP,185928.41,191230.19008116834,0.10318012445296022,9
CP47,BQ,29814.190000000002,29347.423547684608,0.3447594692928957,25
CP47,CH,9696.71,13359.792469244663,0.5877319469071808,13
CP47,FI,29461.69,33091.80446751299,0.3888930801906742,13
CP47,GA,38475.62999999999,49717.3117382434,0.4730339958467363,15
CP47,HT,50660.81,53161.98138539791,0.19118682460183425,5
CP47,LO,783.6300000000001,-482.73301655138414,4.913002111059945,19
CP47,ME,7146.310000000001,10320.024963653506,0.45142445822513794,17
CP47,PA,34.99,-94.4563931084757,3.699525381779814,1
CP47,PC,71400.34,56419.12995770132,0.32511940250821014,26
CP47,SP,165507.78,177564.52887530968,0.4719102348698274,11
CP47,TO,3557.99,5011.133332999943,0.5531964966575279,6
CP48,BQ,3745.8700000000003,5258.673234729277,0.8867456997294308,12
CP48,CH,15677.47,13730.218026607952,0.21532412051553879,11
CP48,FI,36845.15999999999,41617.20153845625,0.33685183046602546,18
CP48,GA,1909.9,7064.668347713057,1.1110229624952477,5
CP48,LO,2447.9900000000002,3554.518481508705,2.688444257950488,25
CP48,ME,8430.47,14627.812302988501,0.7107410713939897,19
CP48,PA,2621.44,2898.298574861844,0.30792172669284373,4
CP48,PC,91913.73,93278.96873022236,0.1854949544670935,25
CP48,SP,49194.0,51320.570278834384,0.10423269685102324,5
CP48,TO,4049.9800000000005,5873.437784979674,0.3618000509884352,3
