week_ending,store_code,city,division_code,sales,units,n_transactions
2025-06-29,CP44,St-Constant,SP,15998.0,2.0,2
2025-06-29,CP44,St-Constant,TO,3093.44,10.0,10
2025-06-29,CP48,Beloeil,AM,252.97,3.0,3
2025-06-29,CP48,Beloeil,AP,48324.7,1432.0,970
2025-06-29,CP48,Beloeil,AS,2868.62,391.5,75
2025-06-29,CP48,Beloeil,AZ,14.950000000000001,5.0,4
2025-06-29,CP48,Beloeil,BQ,3682.69,33.0,35
2025-06-29,CP48,Beloeil,CH,13549.93,7.0,7
2025-06-29,CP48,Beloeil,FI,34.99,1.0,1
2025-06-29,CP48,Beloeil,GA,9699.96,4.0,4
2025-06-29,CP48,Beloeil,HT,15323.99,7.0,7
2025-06-29,CP48,Beloeil,IN,6959.97,10.0,10
2025-06-29,CP48,Beloeil,INM,2970.0,11.0,10
2025-06-29,CP48,Beloeil,LI,949.92,38.0,38
2025-06-29,CP48,Beloeil,LO,7345.7,339.0,276
2025-06-29,CP48,Beloeil,ME,27396.24,165.0,85
2025-06-29,CP48,Beloeil,MK,1.99,1.0,1
2025-06-29,CP48,Beloeil,PA,1561.19,6.0,6
2025-06-29,CP48,Beloeil,PC,35140.299999999996,1472.0,1162
2025-06-29,CP48,Beloeil,PI,5386.81,176.0,135
2025-06-29,CP48,Beloeil,SE,389.92999999999995,7.0,7
2025-06-29,CP48,Beloeil,SP,5499.0,1.0,1
2025-06-29,CP48,Beloeil,TO,2433.9700000000003,9.0,9
2025-07-06,CP08,Longueuil,AM,379.95,5.0,1
2025-07-06,CP08,Longueuil,AP,43713.93,939.5,692
2025-07-06,CP08,Longueuil,AS,2559.5299999999997,233.0,52
2025-07-06,CP08,Longueuil,AZ,11.97,3.0,3
2025-07-06,CP08,Longueuil,BQ,5361.86,16.0,15
2025-07-06,CP08,Longueuil,CH,8979.97,3.0,3
2025-07-06,CP08,Longueuil,FI,979.98,2.0,2
2025-07-06,CP08,Longueuil,GA,1549.8400000000001,16.0,3
2025-07-06,CP08,Longueuil,HT,7603.18,3.0,3
2025-07-06,CP08,Longueuil,IN,4254.98,7.0,7
2025-07-06,CP08,Longueuil,INM,2884.99,8.0,8
2025-07-06,CP08,Longueuil,LI,649.92,20.0,20
2025-07-06,CP08,Longueuil,LO,2826.74,129.0,109
